,MATCHUP,MATCHUP.1,early_rho,late_rho
0,Arizona,@ Pittsburgh,1.1440375188580485,1.160947098543384
1,Milwaukee,@ Tampa Bay,1.1780375114715014,1.200580699390678
2,New York,@ Cincinnati,1.165440659091949,1.1867814364423515
3,Chicago,@ Philadelphia,1.208636426318983,1.225351311353117
4,Detroit,@ Washington,1.2017563805358447,1.2241468595782858
5,Baltimore,@ Toronto,1.1990006688843395,1.206289002763806
6,Cleveland,@ New York,1.2220095783502865,1.2307151148040085
7,Seattle,@ Atlanta,1.139785204514927,1.15618698551655
8,Colorado,@ Texas,1.177103834437586,1.1539953938120247
9,Kansas City,@ Chicago,1.2048470067972636,1.1948782398591267
10,Oakland,@ Houston,1.172086598007864,1.1602006219160803
11,Los Angeles,@ St. Louis,1.2070485005120999,1.1979358286927186
12,Minnesota,@ Los Angeles,1.1585208394450035,1.1719111067883161
13,Boston,@ San Diego,1.2066067703495247,1.2130803475260652
14,Miami,@ San Francisco,1.221793174402427,1.2313846371092094
